,command_list,nodes_list,pcapname
0,tcpdump -npi eth1_3 host 10.107.100.139 -w INC0445891_fw1.pcap,10.44.7.226,INC0445891_fw1.pcap
1,tcpdump -npi eth1_3 host 10.107.100.139 -w INC0445891_fw2.pcap,10.44.7.227,INC0445891_fw2.pcap 
